店名,种类,环境评分,服务评分,口味评分
世外桃源酒店·海鲜自助餐厅,自助餐,3.94,4.55,4.98
爱丽丝魔幻主题牛排海鲜自助餐厅,自助餐,3.86,4.13,4.01
广岛森林自助精品料理(银泰城店),自助餐,3.75,4.88,3.58
仁和春天美食荟(仁和春天广场店),自助餐,4.05,4.49,4.44
525西昌自助火盆烧烤(八里庄店),自助餐,4.29,4.23,4.01
一把骨自助火锅,自助餐,3.45,4.53,4.51
蛙鱼道美蛙河鲜自助火锅(簇桥店),自助餐,4.26,4.25,3.88
科华明宇豪雅饭店·汇景全日制餐厅,自助餐,3.29,3.31,3.44
碳烤吧·西昌火盆自助烤肉,自助餐,4.97,4.73,4.57
天古一级海鲜自助烤肉,自助餐,4.39,3.88,4.95
禾风海鲜料理(人南店),自助餐,4.88,4.07,4.85
子非山庄,自助餐,3.51,4.41,3.27
马上烤自助火盆烧烤,自助餐,3.97,3.88,4.03
吉布鲁牛排海鲜自助(锦华万达店),自助餐,3.55,4.55,3.63
上井精致料理(IFS国金中心店),自助餐,3.99,4.81,4.42
喜庭·吉布鲁概念店(环球中心店),自助餐,4.1,4.55,4.67
鱼仔世家,自助餐,3.18,3.83,3.28
希尔顿花园酒店·花荟·味全日餐厅,自助餐,4.2,4,4.37
南三集粹·中国菜馆,自助餐,4.68,4.35,4.77
大凉山特色火盆自助烧烤,自助餐,4.67,3.95,4.11
食百绚全日制餐厅(棕榈泉费尔蒙酒店),自助餐,4.01,3.97,4.33
太极人家(柴火鸡幸福梅林店),自助餐,3.55,3.64,4.43
鼎尚轩海鲜烤肉火锅自助餐厅(苏宁广场概念店),自助餐,4.78,4.32,4.05
成都首座万丽酒店·BLD西餐厅,自助餐,4.05,4.23,4.53
喜庭(滨江天街店),自助餐,3.96,4.15,3.95
高新豪生大酒店自助餐厅,自助餐,4.66,4.59,4.65
温江绿道竹园乡嗨农场?自助烤肉,自助餐,4.95,4.83,4.44
读花听草庭院烧烤BBQ(三圣乡店),自助餐,4.83,4.17,4.87
华尔道夫酒店Brasserie 99全日餐厅,自助餐,4.78,4.91,4.39
五彩凉山西昌特色烧烤,自助餐,4.72,4.44,4.69
青椒鱼(温江大学城店),自助餐,3.95,3.87,4.15
白鹭一号山庄.三圣乡自助烧烤(总店),自助餐,4.73,3.47,3.84
草原偶遇冰煮羊,自助餐,4.6,4.97,4.17
九里·烤肉(龙湖北城天街店),自助餐,4.69,4.61,4.74
海洋乐园水世界餐厅,自助餐,4.35,4.44,4.1
银鲨国际美食百汇(锦华店),自助餐,4.77,3.1,4.98
醉美秋天海鲜烤肉涮锅美食自助中心,自助餐,3.14,4.82,3.29
贺薇·小薇薇西昌火盆烤肉(太古里店),自助餐,4.22,4.43,4.16
火盆印象自助西昌烧烤(总店),自助餐,4.72,4.53,4.83
怡时西餐厅,自助餐,4.85,4.99,4.15
小鱼洞竹林涧自助烧烤,自助餐,4.63,4.56,4.77
塘河湾生态自助河鲜火锅(金沙店),自助餐,3.98,4.58,4.34
芭菲盛宴·环球美食(奥克斯广场店),自助餐,4.65,4.97,4.87
友豪锦江酒店欧克莱自助西餐厅,自助餐,4.82,3.92,4.19
凉山好汉自助西昌烧烤(339店),自助餐,4.48,4.24,4.27
岳老五蜀味轩美蛙火锅自助,自助餐,4.53,4.32,4.68
吉布鲁牛排海鲜自助(万达广场店),自助餐,3.76,3.08,4.23
功夫烤肉·西昌火盆自助烧烤,自助餐,4.76,4.75,4.04
吉布鲁牛排海鲜自助(金牛凯德广场店),自助餐,4.78,4.23,3.89
半城烟火海鲜牛排自助烤肉馆,自助餐,4.03,4.22,4.36
环球洲际大饭店·天堂岛海鲜自助餐厅,自助餐,4.26,4.01,4.64
西雅图海鲜自助西餐厅(欢乐谷店),自助餐,4.1,4.09,4.58
品味西昌自助火盆烧烤(金色夏威夷广场店),自助餐,4.86,4.29,4.16
花火 Truffle & Chili(三圣乡店),自助餐,3.08,4.21,4.36
凉山自助火盆烧烤(青龙场店),自助餐,4.91,4.03,3.92
北平楼(沙湾店),自助餐,3.99,4.92,4.01
七掌柜自助火锅(双楠旗舰店),自助餐,3.11,4.96,4.04
胡同里烤肉,自助餐,3.93,4.29,4.83
秀餐厅Social,自助餐,4.2,4.85,4.64
木子一乐日式自助烤肉,自助餐,4.79,3.21,4.56
拾匠澳洲肥牛捞捞锅(香槟广场店),自助餐,3.99,4.71,4.48
火舞泰·泰式火锅餐厅(世纪城假日酒店),自助餐,4.06,4.06,4.03
第一烤场牛排海鲜自助烤肉(玉林店),自助餐,3.91,4.38,3.99
宴御海鲜姿造,自助餐,4.89,4.61,4.1
凉山好汉自助西昌烧烤(高新店),自助餐,4.79,4.46,4.83
蓉城渔先生冷锅鱼(李家沱店),自助餐,4.88,4.24,4.18
顺财河鲜自助火锅,自助餐,4.57,3.87,4.19
壹醉拽把把烧自助餐厅(建设路店),自助餐,4.53,4.3,4.7
大河鱼村河鲜自助火锅(白水河冷锅鱼精品店),自助餐,4.79,3.95,4.22
吴蜀记石棉烤肉,自助餐,4.96,4.34,3.92
韩吉烤肉·牛排海鲜自助(高新区店),自助餐,4.94,3.58,4.38
素满香·素食自助餐厅(成都·青羊区北大街店),自助餐,3.94,4.88,4.34
上井精致料理(成都大悦城店),自助餐,4.78,4.97,3.87
荣胜和火锅(犀浦自助店),自助餐,4.69,4.94,4.76
叺皮把把烫,自助餐,3.88,4.13,4.94
汉丽轩韩式自助烤肉(SM广场店),自助餐,4.98,4.98,4.02
妙蔬缘素食自助餐厅,自助餐,3.99,3.91,4.39
锦江宾馆紫竹自助餐厅,自助餐,3.91,3.29,3.14
塘河湾生态自助河鲜火锅(文殊院店),自助餐,4.84,4.9,4.67
渔家帮河鲜自助火锅,自助餐,3.06,3.21,4.95
保利皇冠假日酒店·198咖啡厅,自助餐,3.51,4.79,3.66
澳洲肥牛捞捞锅(光华店),自助餐,3.97,4.31,4.36
蓉咖啡海鲜自助餐厅·香格里拉大酒店,自助餐,4.48,3.93,4.73
北平楼,自助餐,4.4,4.19,4.75
茂御酒店·荟聚西餐厅,自助餐,4.79,3.86,3.56
汉釜宫海鲜烤肉涮锅自助(银海中心店),自助餐,3.41,2.96,4.03
泰合索菲特大饭店·巴赛丽西餐厅,自助餐,4.32,3.5,4.79
巴瑞斯牛排海鲜自助(爱琴海店),自助餐,4.95,4.02,2.95
榛悦隆堡酒店·奢味西餐厅,自助餐,4.19,4.06,4.36
印象全日餐厅·成都机场假日酒店,自助餐,4.82,4.06,4.47
醉生肖自助火锅(玉林店),自助餐,4.14,4.72,4.78
岷山饭店芝芝自助餐厅,自助餐,4.91,3.98,4.19
凉山好汉自助西昌烧烤(西门店),自助餐,4.44,4.67,4.38
香园自助小火锅,自助餐,4.84,3.91,4.93
吉布鲁牛排海鲜自助(武侯凯德店),自助餐,4.27,4.37,4.7
香荟全天候餐厅,自助餐,4.35,4.61,4.43
壹小馆.皇城老妈(成都远洋太古里店),自助餐,4.42,4.65,4.51
比格比萨(SM店),自助餐,4.31,4.58,4.25
三国烤肉海鲜欢乐自助风(春熙店),自助餐,4.46,4.5,3.32
书芙蓉舒食小火锅(奥克斯店),自助餐,4.7,4.21,4.38
行大田牛排海鲜自助(凯德广场店),自助餐,3.7,4.77,3.61
村寨部落西昌自助火盆烧烤(银泰店),自助餐,4,3.99,4.93
爱客得海鲜自助烤肉·涮涮锅(春熙路店),自助餐,4.21,4.46,4.47
汉巴味德(大悦城店),自助餐,4.65,4.97,4.42
上鱼河鲜(西苑半岛店),自助餐,4.4,4.46,3.88
贺薇·小薇薇西昌火盆烤肉(中央天地店),自助餐,4.41,4.31,4.14
伊亚庄园(三圣乡白鹭湾店),自助餐,4.95,4.11,3.81
鱼香四季品质自助河鲜火锅(光华店),自助餐,4.8,4.79,4.45
吉布鲁牛排海鲜自助(金牛北城天街店),自助餐,3.53,3.03,4.2
江南道自助烤肉海鲜涮锅,自助餐,3.92,4.04,4.27
焱夫子海鲜涮锅烤肉自助(银泰城店),自助餐,3.48,3.4,3.35
七掌柜自助火锅(建设路店),自助餐,4.55,2.96,3.85
吉布鲁牛排海鲜自助(温江区珠江广场店),自助餐,2.91,3.46,4.43
丽思卡尔顿行政酒廊,自助餐,3.44,3.42,4.36
蓉城漫生活鲜货自助火锅,自助餐,4.2,4.46,4.57
铜香来美蛙鱼自助火锅,自助餐,4.51,4.63,4.14
北平楼老北京涮羊肉(新都店),自助餐,4.91,3.91,4.28
哎吖!哦烤 自助烤肉,自助餐,4.04,4.7,4.79
烤派自助网烤(红光店),自助餐,4.07,4.7,3.9
吉布鲁牛排海鲜自助(犀浦凯德广场店),自助餐,3.12,4.89,2.95
七掌柜自助火锅(万科路店),自助餐,4.4,4.93,4.96
?崎·泰式海鲜火锅自助,自助餐,3.25,4.74,3.02
大凉山姐弟自助火盆烧烤(天府二街店),自助餐,4.05,4.71,4.32
启雅尚·德吉谿康自助餐厅,自助餐,3.19,3.97,3.99
白鹭里·三圣乡农家乐(白鹭湾总店),自助餐,4.78,2.99,4.76
火上芭蕾海鲜烤肉自助,自助餐,4.94,3.96,3.97
重庆老船夫河鲜自助,自助餐,4.32,4.2,4.45
澳洲肥牛(龙泉店),自助餐,3.58,4.89,4.04
旭猛馋味轩海鲜自助烤肉(红牌楼店),自助餐,4.39,3.59,4.36
飞火令西昌火盆自助烤肉(玛塞城店),自助餐,4.23,4.26,3.91
懒汉冷锅鱼(锦华万达店),自助餐,4.78,4.62,3.92
阿郎山海鲜烤肉涮锅美食自助超市(时代天街店),自助餐,4.9,4.84,3.61
吉布鲁牛排海鲜自助(郫都时代天街店),自助餐,2.96,4.27,3.66
青石城仔姜藤椒鱼蛙自助火锅(恒大中央广场店),自助餐,4.31,4.82,4.5
渔人周生态河鲜自助火锅(双楠店),自助餐,3.56,4.62,4.67
空港大酒店自助餐厅,自助餐,3.9,4.87,4.69
彝家傻哥特色自助火盆烧烤,自助餐,3.36,3.04,3.85
吉布鲁牛排海鲜自助(龙泉万达店),自助餐,4.82,4.84,3.7
禾月炭火自助烤肉(青羊万达店),自助餐,4.39,4.72,4.82
珀斯莱德牛排自助馆(春熙路店),自助餐,3.57,4.58,4.79
青石城仔姜藤椒鱼蛙自助火锅(华宇广场店),自助餐,4.02,4.71,4.75
乐山锅盖烤肉,自助餐,4.37,4.51,4.04
利川家自助海鲜烤肉(香槟广场店),自助餐,3.31,3.36,4.21
吉布鲁牛排海鲜自助(七一广场店),自助餐,4.5,4.08,2.96
U33猎潜艇牛排海鲜自助(龙湖三千集店),自助餐,4.76,3.43,3.29
勾栏瓦舍·共享厨房,自助餐,3.94,3.87,4.24
白河鱼嘴·美蛙鲜鱼自助火锅,自助餐,4.25,4.62,4.49
汉釜宫海鲜牛排烤肉自助(龙泉旗舰店),自助餐,4.16,4.15,4.19
森海海鲜自助,自助餐,4.03,4.83,4.91
田园把把烧,自助餐,2.97,3.9,2.88
仁义河鲜鱼府,自助餐,4.76,4.38,4.11
七掌柜自助火锅(郫县犀浦爱琴海店),自助餐,4.61,3.31,2.96
小炉哥自助石棉烤肉(大源西街店),自助餐,3.87,4.94,4.64
阿郎山烤肉超市(龙湖北城天街店),自助餐,4.27,4.24,2.99
星宸航都国际酒店环球海鲜.烧烤自助餐厅,自助餐,4.45,4.09,4.44
梁山英雄自助烤蚝烤肉(龙泉旗舰店),自助餐,3.81,4.84,2.87
行大田牛排海鲜自助(海滨城店),自助餐,3.44,3.88,4.58
温江皇冠假日酒店·温咖啡厅,自助餐,4.95,2.96,3.05
好来客自助烤肉,自助餐,4.89,4.56,4.22
吉布鲁牛排海鲜自助(双流万达店),自助餐,3.33,3.26,3.02
月色火焰海鲜自助烤肉,自助餐,3.56,4.31,4.97
别知己西昌自助火盆烧烤,自助餐,3.9,4.87,4.73
韩品轩海鲜自助烤肉.涮涮锅(银泰城店),自助餐,4.88,4.89,3.5
醉美秋天火锅海鲜国际美食自助中心,自助餐,3.51,3.69,3.56
重庆老梭边鱼府(19分店),自助餐,4.3,4.15,4.37
澳洲肥牛捞捞锅牛排海鲜自助(双流店),自助餐,3.02,4.46,4.45
吉布鲁牛排海鲜自助(郫县万达店),自助餐,4.46,3.97,3.44
天之府温德姆至尊豪廷大酒店玫瑰人生西餐厅,自助餐,4.54,4.96,3.42
老北京涮羊肉·北京烤鸭·熊大小龙虾(华润二十四城店),自助餐,4.64,4.85,3.55
道源海鲜自助烤肉,自助餐,3.98,4.56,4.04
成都新希望高新皇冠假日酒店·浅川咖啡厅,自助餐,4,4.4,4.72
火庆自助烤肉馆,自助餐,4.62,4.83,4.88
大都会海鲜自助餐厅,自助餐,3.85,4.12,2.9
三味真火西昌火盆烧烤(建设路店),自助餐,3.46,3.54,3.4
韩吉烤肉牛排海鲜自助(双流万达店),自助餐,4.46,4.62,3.14
深溪木楼山庄,自助餐,4.86,4.29,4.38
醉美秋天火锅烤肉牛排海鲜美食自助中心(汇融广场店),自助餐,4.15,3.92,3.17
清荷记忆火锅海鲜自助,自助餐,4.38,4.74,4.79
荒野自助烤肉,自助餐,4.94,4.81,4.16
食其乐海鲜牛排自助(蓝润置地广场店),自助餐,4.73,4.7,3.08
鱼香四季自助生态河鲜火锅(金仙桥店),自助餐,3.96,3.99,3.67
汉釜宫自助烤肉(万达广场店),自助餐,4.87,4.03,4.69
七掌柜自助火锅(龙泉店),自助餐,3.19,4.84,4.77
韩厨缘素牛排烤肉海鲜自助美食百汇,自助餐,4.03,4.75,3.12
莽子老火锅自助火锅,自助餐,4.91,3.92,4.13
尚品宫海鲜烤肉自助餐厅(新城市广场店),自助餐,4.84,3.97,4.45
醉乐叁西昌火盆自助烧烤,自助餐,4.82,3.83,4.55
三道堰花田囍事农家乐,自助餐,4.23,3.82,3.89
撸得欢砂锅自助串串(蜀都万达店),自助餐,3.09,3,3.48
小潴妹自助烤肉火锅,自助餐,3.47,4.8,3.6
柒筒自助火盆烧烤,自助餐,3.7,4.77,4.41
桃林轩·摘桃子·自助烧烤·中餐·柴火鸡(龙泉山店),自助餐,4.16,3.43,4.49
万木丛生烤肉,自助餐,4.61,3.47,3.03
安仁福朋喜来登酒店宜客乐西餐厅,自助餐,4.96,4.33,4.02
黑龙滩生态鱼火锅,自助餐,3.78,3.63,3.04
一米小肠·西昌烧烤(天府长城店),自助餐,3.97,4.41,4.69
北平楼.老北京涮羊肉,自助餐,4.7,3.93,3.86
一品烤肉(红光店),自助餐,4.89,3.93,4.01
金蓉土巴碗石锅冷锅鱼(新街里店),自助餐,4.43,4.88,4.88
吉布鲁牛排海鲜自助(龙泉驿吾悦广场店),自助餐,4.61,4.54,3.03
秋叶自助烤生蚝,自助餐,3.25,3.09,4.33
吉小姿自助烤肉(七一广场店),自助餐,4.47,3.8,3.51
莱普敦酒店维港餐厅,自助餐,4.94,4.75,4.26
百伦国际酒店福味居风味餐厅,自助餐,3.98,2.89,4.12
重庆老买主冷锅鱼(大源店),自助餐,4.42,4.7,4.48
成都新都假日酒店餐厅,自助餐,3.36,4.59,4
城市名人·米兰阳光西餐厅(金融街店),自助餐,4.8,4.2,3.85
吉布鲁牛排海鲜自助(都江堰百伦店),自助餐,3.82,3.33,2.89
焱烯自助小火锅,自助餐,3.57,3.5,3.45
蛙先生美蛙河鲜自助,自助餐,4.84,3.49,4.93
味知·藤椒火锅鱼(光华店),自助餐,4.7,4.85,3.75
重庆鱼美佳火锅(四川师大店),自助餐,4.7,4.6,4.64
泰式自助烤肉,自助餐,4.81,4.78,4.83
彝家自助烤肉,自助餐,4.98,4.64,4.32
大凉山西昌火盆烧烤,自助餐,4.04,3.34,4.63
开心巴比肯农场(三圣乡白鹭湾总店),自助餐,2.96,4.28,4.24
一网打尽自助火锅,自助餐,3.22,4.59,4.04
海鲜肥牛自助(万达广场店),自助餐,3.33,3.26,4.3
上席河鲜馆·自助鱼火锅,自助餐,3.56,3.24,4.74
成都帝盛酒店·悦蓉西餐厅,自助餐,4.33,4.98,3.93
香西昌自助烧烤.烤全羊(高新店),自助餐,3.53,4.62,4.52
千里烤肉火锅(八里小区店),自助餐,3.94,4.83,3.67
成都阳光国际会议中心·阳光花园餐厅,自助餐,4.67,4.86,3.51
享悦海鲜自助餐吧,自助餐,4.85,4.98,3.79
鲜火肴海鲜自助餐厅,自助餐,3.81,4.98,3.27
富顺豆花鱼火锅之蛙美鱼跳,自助餐,4.93,4.03,4.67
薛鲜森涮烤自助,自助餐,3.07,4.19,3.02
兄弟锅盖烤肉(龙湖九里晴川总店),自助餐,4.7,4.09,4.1
甲甫甲甫锅盖烤肉,自助餐,3.79,4.38,3
汉派韩国烤肉(龙湖时代天街店),自助餐,4.8,4.82,4.72
火盆烧(大丰店),自助餐,4.36,4.25,4.41
白鹭里·自助烧烤·柴火鸡·团建(三圣乡店),自助餐,3.96,4.07,4.61
南丫岛海鲜牛排自助餐厅(卓锦曼购中心店),自助餐,4.88,2.9,4.98
鱼香四季品质河鲜自助火锅,自助餐,2.87,4.08,4.96
鲜椒自助火锅,自助餐,3.31,4.8,3.85
食在·自助双椒鱼,自助餐,4.83,4.11,3.62
水漾年华国际美食汇,自助餐,4.45,3.1,3.68
刘记醉西昌火盆烧烤,自助餐,4.08,4.1,4.51
鱼香四季自助生态河鲜火锅(龙城国际店),自助餐,3.97,4.47,4.53
宜宾笋子鸡肥肠鱼,自助餐,4.54,2.87,3.08
香格里拉 豪华阁,自助餐,3.29,3.51,3.81
木子一乐日式自助烤肉(龙泉店),自助餐,3.2,4.35,4.66
韩厨缘素牛排海鲜创意自助餐厅(汇融广场直营店),自助餐,3.02,3.78,4.81
辣立方自助火锅(交大店),自助餐,4.55,3.66,4.1
霜霜鱼府蛙美鱼跳(红光总店),自助餐,4.5,4.84,4.96
飞火令·西昌火盆自助烤肉(彭州店),自助餐,4.98,3.53,3.64
明宇豪雅饭店(科华店),自助餐,4.2,4.81,3.03
大凉山自助火盆烧烤,自助餐,4.31,3.89,4.58
九味九尺鸭肠王牛排自助火锅,自助餐,4.81,3.91,4.19
印象花园·白鹭湾农家乐(三圣乡总店),自助餐,4.16,3.36,3.66
土坎子火锅烤肉自助,自助餐,4.02,3.55,3.01
乡鲜鱼府(傲城店),自助餐,4.9,4.18,4.82
卢浮花园,自助餐,3.39,4.02,4.22
七掌柜自助火锅(高家庄店),自助餐,4.39,2.99,3.28
西昌原生态忠华火盆烧烤(彭州店),自助餐,4.8,4.3,4.1
吉布鲁牛排海鲜自助(新都静安路店),自助餐,4.75,3.95,4.35
川江大坝子自助火锅超市(双华桥总店),自助餐,4.61,4.84,3.72
重庆老船夫冷锅鱼(晋阳路店),自助餐,3.55,4.73,3.57
雅居乐豪生咖啡厅,自助餐,3.37,3.74,3.04
西昌原生态忠华火盆烧烤(蛟龙店),自助餐,3.98,3.99,4.89
八号烤场西昌火盆自助烧烤(龙泉店),自助餐,4.9,3.38,4.06
馋道自助烤肉,自助餐,4.86,4.21,4.78
蜀儿郎自助火锅,自助餐,3.1,3.91,4.69
馋道自助烤肉(双流店),自助餐,4.95,4.05,4.21
七掌柜自助火锅(航空港店),自助餐,3.53,4.62,3.2
吉布鲁牛排海鲜自助(崇州万达店),自助餐,3.6,3.59,4.69
美渔馆·河鲜自助餐厅,自助餐,3.8,4.59,4.78
醉张杨?九尺鸭肠王自助火锅超市,自助餐,4.73,4.02,3.99
彝家自助无烟烧烤,自助餐,3.97,4.03,4.03
七掌柜自助火锅(世茂城店),自助餐,3.16,4.8,4.31
水月渔村户外烧烤,自助餐,3.57,3.54,2.92
吉布鲁牛排海鲜自助(新都懿润百货店),自助餐,3.91,4.45,3.82
一品味自助烤肉火锅店,自助餐,4.23,4.09,2.98
黄桷树自助餐火锅,自助餐,3.02,4.39,4.17
木子一乐自助烤肉,自助餐,3.44,4.13,4.01
廊桥水岸.BBQ烧烤CS小龙虾中餐,自助餐,4.12,3.26,4.1
酒歌鲜货自助火锅,自助餐,4.71,3.21,3.01
猪圈小米辣(温江2店),自助餐,4.3,4.06,3.95
红璟天?火锅(营兴店),自助餐,3.92,2.88,3.12
锦善家宴(三圣乡店),自助餐,3.31,4.94,3.99
小鱼洞太子野鱼庄(彭州店),自助餐,3.51,4.05,4.03
大渡河涮烤自助,自助餐,4.06,3.47,4.58
重庆老船夫冷锅鱼,自助餐,4.42,4.06,4.04
亚马逊牛排海鲜自助(金牛万达广场店),自助餐,2.51,4.43,2.41
芷汀小院自助烤肉(万春绿道店),自助餐,4.2,3.82,4.65
酥咪铬海鲜自助烤肉(簇桥店),自助餐,3.75,4.09,4.4
汉源特色铁板烧海鲜自助烤肉(蜀都万达店),自助餐,3.91,4.79,4.58
聚缘串串自助火锅,自助餐,3.31,2.89,4.96
湖景壹号,自助餐,4.69,3.79,4.22
河边自助烧烤,自助餐,4.89,4.68,4.06
豪情粱山郝汉西昌自助火盆烧烤,自助餐,3.9,4.57,4.74
正一品韩国烤肉,自助餐,3.81,4.09,2.89
和枫牛排海鲜自助烤肉,自助餐,2.89,4.41,3.27
四海蓉合,自助餐,4.03,3.87,4.24
海里捞海鲜牛排自助餐厅(双流韩国城店),自助餐,3.13,4.7,3.92
顺财河鲜自助,自助餐,4.46,4.55,3.32
吉布鲁牛排海鲜自助(兰天城市广场店),自助餐,3.73,3.68,3.59
大金鲨烤肉海鲜牛排自助餐厅,自助餐,4.99,3.74,4.56
十八子自助烧烤,自助餐,3.05,3.05,4.32
海上悦品质海鲜自助,自助餐,4.25,4.57,2.94
三国烤肉(优品道广场店),自助餐,4.09,3.67,4.94
团建·三圣乡农家乐·自助烧烤(白鹭湾湿地店),自助餐,3.14,4.01,3.4
成都总府皇冠假日酒店咖啡厅,自助餐,4.16,4.82,3
成都机场假日酒店·川记中餐厅,自助餐,4.57,4.59,4.61
蜀乐池温泉快时尚自助餐厅,自助餐,3.6,3.27,2.95
三道堰自助烧烤,自助餐,3.84,3.39,4.1
砂锅豆花鱼火锅,自助餐,4.61,4.58,4.41
蛙塞美蛙鱼头火锅,自助餐,3.99,3.34,3.27
舌尖船说海鲜自助(静安店),自助餐,4.39,3.63,3.77
蓉舒苑烤全羊(三圣乡店),自助餐,3.66,4.36,3.66
花乡风情苑·柴火鸡·自助烧烤农家乐(三圣乡店),自助餐,3.78,2.87,3.54
韩香自助烤肉,自助餐,3.22,3.92,4.85
金阳尚城酒店自助餐厅,自助餐,4.2,4.32,3.89
禾悦韩式自助烤肉(青白江店),自助餐,3.76,3.3,4.77
渝江渔自助河鲜火锅,自助餐,4.67,3.27,2.92
成都天府丽雅酒店宽窄店丽悦餐厅,自助餐,3.2,4.9,3.21
田夫牧舍西昌自助烤肉,自助餐,3.1,4.7,3
蜀今朝美蛙鱼自助火锅(北泉路店),自助餐,4.89,3.82,3.53
醉烧刀百烤汇自助海鲜豆捞(空港北京华联店),自助餐,3.22,4.32,4.54
一烤江湖,自助餐,4,3.16,4.75
艾克美雅阁大酒店香榭岛自助餐厅,自助餐,2.95,3.18,4.79
火上芭蕾韩式自助烤肉,自助餐,3.12,4.65,3.99
鱼凫自助烧烤,自助餐,3.06,4.45,3.38
最西昌醉巴适自助火盆烧烤(石油大学店),自助餐,4.23,4.29,4.44
虹口林中园水上烧烤·柴火鸡,自助餐,4.07,3.39,3.95
重庆藤椒火锅鱼(光荣北路店),自助餐,3.75,4.33,4.34
海悦酒店·圣悦庭西餐厅,自助餐,4.51,4.27,3.79
坎上鱼自助火锅,自助餐,4.38,3.5,4.47
特色石棉烤肉 自助,自助餐,3.02,3.61,4.59
园林西昌火盆自助烧烤(永康森林公园店),自助餐,3.47,4.43,2.94
七掌柜自助火锅(郫筒镇店),自助餐,4.47,3.23,4.96
七福徕牛排海鲜自助,自助餐,3.85,4.22,4.45
九尺鲜鸭肠火锅·自助餐(旗舰店),自助餐,2.98,4.37,3.16
吉布鲁牛排海鲜自助(彭州东大街店),自助餐,3.23,4.81,2.89
百川印象火锅·烤肉牛排海鲜自助餐厅,自助餐,4.11,4.21,4.96
蚝鲜生自助烤肉,自助餐,3.35,3.09,4.46
酥咪铬海鲜自助烤肉(大丰店),自助餐,4.86,4.18,4.81
七掌柜自助火锅(双流店),自助餐,3.04,4.69,3.61
吻嘴鱼活鲜大排档,自助餐,4.18,3.96,4.38
渔满堂自助河鲜火锅,自助餐,3.19,4.63,4.63
蜀味鲜生火锅·河鲜牛排自选餐厅,自助餐,2.93,4.69,3.34
柳庄园林主题餐厅 柴火鸡(江家菜地),自助餐,4.73,3.95,4.54
丰豪牛排海鲜烤肉火锅自助(大丰店),自助餐,4.56,4.14,4.58
新华宾馆自助餐厅,自助餐,4.89,4.9,4.86
火盆烧烤·虹口山水印象,自助餐,4.69,4.83,4.41
石棉自助烤肉(理工大学店),自助餐,3.26,4.85,4.67
重庆古城火锅,自助餐,4.83,3.66,4.29
何日君酒店(南门二店),自助餐,3.48,3.2,4.72
醉香缘牛排海鲜涮烤自助,自助餐,2.95,4.9,4.16
火上芭蕾海鲜牛排烤涮自助餐厅(郫县万达店),自助餐,4.41,3.96,3.28
阿郎山烤肉涮锅美食超市(新都店),自助餐,4.01,3.08,4.12
吻嘴鱼河鲜火锅鱼·牛油火锅(红星路店),自助餐,2.91,3.19,4.8
大鼎世纪大酒店-阳光咖啡厅,自助餐,4.13,3.07,4.42
铜香来美蛙鱼自助火锅,自助餐,4.48,4.65,4.06
三代渔夫·麻辣沸腾鱼(尚锦路店),自助餐,4.81,4.23,4.44
韩肴宫自助烤肉,自助餐,4.35,2.94,3.27
七掌柜自助火锅(财大店),自助餐,4.67,4.28,3.28
江湖传奇精品自助火锅,自助餐,3.8,3.05,4.19
壹品圣鼎河鲜自助,自助餐,4.75,3.5,3.99
知己自助烤肉(街子店),自助餐,4.61,4.45,4.7
打渔村河鲜自助,自助餐,4.85,4.97,3.69
吉品道牛排海鲜涮锅自助,自助餐,4.78,4.77,3.3
罗菲盛宴,自助餐,3.02,4.04,3.48
欧佳牦牛排海鲜自助(红光沃尔玛店),自助餐,4.8,3.34,4.13
重庆藤椒火锅鱼,自助餐,4.79,3.07,3.65
碧玉山庄自助烧烤真人CS基地(百工堰店),自助餐,3.77,3.42,4.35
胖玻璃球自助烤肉芝士年糕火锅,自助餐,3.23,4.16,3.06
芙蓉树下·品质冒菜全球连锁(总店),小吃,4.91,4.03,4.59
叶婆婆钵钵鸡(人民南路总店),小吃,4.95,4.75,4.57
鸿运兔·手撕烤兔(天府广场店),小吃,4,4.98,4.47
约面面馆(太古里店),小吃,3.95,4.86,4.68
老成都三样面,小吃,4.11,4.42,4.79
舌尖派对·四川小吃集(奎星楼店),小吃,4.63,4.65,4.17
蒌兰兰州牛肉面(凯德乐视界店),小吃,4.58,4.76,4.02
三有缘兔鱼火锅,小吃,4.78,4.85,4.59
正反面·重庆小面(优品道总店),小吃,3.91,3.88,4.83
正反面重庆小面(昭觉寺南路店),小吃,4.58,4.23,4.1
小微家吃货聚集地,小吃,4.34,4.23,4.84
唐彩彩油炸铺,小吃,4.66,4.12,4.44
碳楽滿腹·日式燒肉店(保利中心店),小吃,4.47,4.4,4.8
叶婆婆豆浆馍馍,小吃,3.94,4.86,4.5
官人桥蒙自过桥米线,小吃,4.15,4.83,4.07
成都吃客(九眼桥店),小吃,4.09,4.68,4.69
牛大侠牛肉面·清真,小吃,3.97,3.89,4.67
牛华老阿婆麻辣烫(新华公园店),小吃,4,4.31,4.99
竹木堂烤肉居酒屋(犀浦店),小吃,4.39,4.64,3.91
太平张醪糟(都江堰总店),小吃,4.77,3.95,3.9
八二小区抄手(建设路总店),小吃,3.89,4.14,3.91
瓷碗面(高朋路店),小吃,4.6,4.9,4.64
张三脆,小吃,4.55,4.36,4.95
赤宴(玉林店),小吃,4.27,4.05,4.96
